co_municipio,no_municipio,sg_uf,categoria,no_regiao_turistica
3109808,Cachoeira Dourada,MG,Município com oferta turística complementar,Rota do Triângulo
3109907,Caetanópolis,MG,Município turístico,Grutas
3110004,Caeté,MG,Município turístico,Ouro
3110103,Caiana,MG,Município com oferta turística complementar,Pico da Bandeira
3110202,Cajuri,MG,Município com oferta turística complementar,Montanhas e Fé
3110301,Caldas,MG,Município com oferta turística complementar,Caminhos Gerais
3110400,Camacho,MG,Município de apoio ao turismo,Grutas e Mar de Minas
3110509,Camanducaia,MG,Município turístico,Serras Verdes do Sul de Minas
3110608,Cambuí,MG,Município turístico,Serras Verdes do Sul de Minas
3110806,Campanário,MG,Município com oferta turística complementar,Pedras Preciosas
3110905,Campanha,MG,Município turístico,Águas
3111002,Campestre,MG,Município com oferta turística complementar,Caminhos Gerais
3111200,Campo Belo,MG,Município turístico,Grutas e Mar de Minas
3111309,Campo do Meio,MG,Município com oferta turística complementar,Lago de Furnas
3111408,Campo Florido,MG,Município com oferta turística complementar,Rota do Triângulo
3111606,Campos Gerais,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3111705,Canaã,MG,Município com oferta turística complementar,Serras de Minas
3111804,Canápolis,MG,Município com oferta turística complementar,Rota do Triângulo
3112059,Cantagalo,MG,Município de apoio ao turismo,Trilhas do Rio Doce
3112109,Caparaó,MG,Município com oferta turística complementar,Pico da Bandeira
3112208,Capela Nova,MG,Município de apoio ao turismo,Villas e Fazendas de Minas
3112406,Capetinga,MG,Município de apoio ao turismo,Montanhas Cafeeiras de Minas
3112505,Capim Branco,MG,Município com oferta turística complementar,Grutas
3112653,Capitão Andrade,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3112802,Capitólio,MG,Município turístico,Nascentes das Gerais e Canastra
3112901,Caputira,MG,Município de apoio ao turismo,Pico da Bandeira
3113008,Caraí,MG,Município de apoio ao turismo,Pedras Preciosas
3113107,Caranaíba,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3113206,Carandaí,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3113305,Carangola,MG,Município turístico,Pico da Bandeira
3113404,Caratinga,MG,Município turístico,Rota do Muriqui
3113503,Carbonita,MG,Município com oferta turística complementar,Diamantes
3113701,Carlos Chagas,MG,Município com oferta turística complementar,Pedras Preciosas
3114105,Carmo de Minas,MG,Município com oferta turística complementar,Águas
3114204,Carmo do Cajuru,MG,Município com oferta turística complementar,Campo das Vertentes
3114303,Carmo do Paranaíba,MG,Município turístico,Caminhos do Cerrado
3114402,Carmo do Rio Claro,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3114501,Carmópolis de Minas,MG,Município turístico,Campo das Vertentes
3114550,Carneirinho,MG,Município com oferta turística complementar,Rota do Triângulo
3114600,Carrancas,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3114709,Carvalhópolis,MG,Município com oferta turística complementar,Caminhos Gerais
3114808,Carvalhos,MG,Município com oferta turística complementar,Montanhas Mágicas da Mantiqueira
3114907,Casa Grande,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3115003,Cascalho Rico,MG,Município de apoio ao turismo,Rota do Triângulo
3115102,Cássia,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3115300,Cataguases,MG,Município turístico,Serras e Cachoeiras
3115409,Catas Altas da Noruega,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3115458,Catuji,MG,Município com oferta turística complementar,Pedras Preciosas
3115474,Catuti,MG,Município com oferta turística complementar,Serra Geral do Norte de Minas
3115508,Caxambu,MG,Município turístico,Águas
3115607,Cedro do Abaeté,MG,Município de apoio ao turismo,Lago de Três Marias
3115805,Centralina,MG,Município com oferta turística complementar,Rota do Triângulo
3115904,Chácara,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3116001,Chalé,MG,Município de apoio ao turismo,Pico da Bandeira
3116159,Chapada Gaúcha,MG,Município com oferta turística complementar,Urucuia Grande Sertão
3116209,Chiador,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3116308,Cipotânea,MG,Município com oferta turística complementar,Nascente do Rio Doce
3116506,Claro dos Poções,MG,Município de apoio ao turismo,Sertão Gerais
3116605,Cláudio,MG,Município turístico,
3116704,Coimbra,MG,Município com oferta turística complementar,Montanhas e Fé
3116803,Coluna,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3117009,Comercinho,MG,Município de apoio ao turismo,Vale do Jequitinhonha
3117108,Conceição da Aparecida,MG,Município com oferta turística complementar,Montanhas Cafeeiras de Minas
3115201,Conceição da Barra de Minas,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3117306,Conceição das Alagoas,MG,Município turístico,Rota do Triângulo
3117207,Conceição das Pedras,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3117405,Conceição de Ipanema,MG,Município com oferta turística complementar,Mata Atlântica de Minas
3117504,Conceição do Mato Dentro,MG,Município turístico,Serra do Cipó
3117801,Conceição dos Ouros,MG,Município com oferta turística complementar,Serras Verdes do Sul de Minas
3117836,Cônego Marinho,MG,Município de apoio ao turismo,Velho Chico
3117876,Confins,MG,Município turístico,Grutas
3117900,Congonhal,MG,Município com oferta turística complementar,Serras Verdes do Sul de Minas
3118007,Congonhas,MG,Município com oferta turística complementar,Ouro
3118106,Congonhas do Norte,MG,Município de apoio ao turismo,Serra do Cipó
3118205,Conquista,MG,Município de apoio ao turismo,Rota do Triângulo
3118304,Conselheiro Lafaiete,MG,Município turístico,Villas e Fazendas de Minas
3118403,Conselheiro Pena,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3118502,Consolação,MG,Município com oferta turística complementar,Serras Verdes do Sul de Minas
3118601,Contagem,MG,Município turístico,Veredas
3118908,Cordisburgo,MG,Município com oferta turística complementar,Grutas
3119104,Corinto,MG,Município com oferta turística complementar,Guimarães Rosa
3119203,Coroaci,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3119302,Coromandel,MG,Município com oferta turística complementar,Caminhos do Cerrado
3119401,Coronel Fabriciano,MG,Município turístico,Mata Atlântica de Minas
3119500,Coronel Murta,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3119708,Coronel Xavier Chaves,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3119906,Córrego do Bom Jesus,MG,Município com oferta turística complementar,Serras Verdes do Sul de Minas
3119955,Córrego Fundo,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3120003,Córrego Novo,MG,Município de apoio ao turismo,Rota do Muriqui
3120102,Couto de Magalhães de Minas,MG,Município com oferta turística complementar,Diamantes
3120151,Crisólita,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3120201,Cristais,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3120409,Cristiano Otoni,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3120508,Cristina,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3120706,Cruzeiro da Fortaleza,MG,Município com oferta turística complementar,Caminhos do Cerrado
3120805,Cruzília,MG,Município com oferta turística complementar,Águas
3120839,Cuparaque,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3120904,Curvelo,MG,Município turístico,Guimarães Rosa
3121001,Datas,MG,Município de apoio ao turismo,Diamantes
3121100,Delfim Moreira,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3121209,Delfinópolis,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3121308,Descoberto,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3121407,Desterro de Entre Rios,MG,Município de apoio ao turismo,Campo das Vertentes
3121506,Desterro do Melo,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3121605,Diamantina,MG,Município turístico,Diamantes
3121704,Diogo de Vasconcelos,MG,Município com oferta turística complementar,Montanhas e Fé
3121803,Dionísio,MG,Município com oferta turística complementar,Mata Atlântica de Minas
3121902,Divinésia,MG,Município com oferta turística complementar,Montanhas e Fé
3122108,Divino das Laranjeiras,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3122207,Divinolândia de Minas,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3122355,Divisa Alegre,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3122405,Divisa Nova,MG,Município com oferta turística complementar,Lago de Furnas
3122454,Divisópolis,MG,Município de apoio ao turismo,Vale do Jequitinhonha
3122470,Dom Bosco,MG,Município com oferta turística complementar,Noroeste das Gerais e Alto Paranaíba
3122504,Dom Cavati,MG,Município com oferta turística complementar,Rota do Muriqui
3122702,Dom Silvério,MG,Município com oferta turística complementar,Montanhas e Fé
3122801,Dom Viçoso,MG,Município com oferta turística complementar,Águas
3123007,Dores de Campos,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3123106,Dores de Guanhães,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3123205,Dores do Indaiá,MG,Município com oferta turística complementar,Lago de Três Marias
3123528,Durandé,MG,Município com oferta turística complementar,Pico da Bandeira
3123601,Elói Mendes,MG,Município turístico,Lago de Furnas
3123700,Engenheiro Caldas,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3123908,Entre Rios de Minas,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3124203,Espera Feliz,MG,Município com oferta turística complementar,Pico da Bandeira
3124401,Espírito Santo do Dourado,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3124500,Estiva,MG,Município turístico,Serras Verdes do Sul de Minas
3124609,Estrela Dalva,MG,Município com oferta turística complementar,Serras e Cachoeiras
3124708,Estrela do Indaiá,MG,Município com oferta turística complementar,Lago de Três Marias
3124807,Estrela do Sul,MG,Município com oferta turística complementar,Rota do Triângulo
3125101,Extrema,MG,Município turístico,Serras Verdes do Sul de Minas
3125200,Fama,MG,Município com oferta turística complementar,Lago de Furnas
3125408,Felício dos Santos,MG,Município de apoio ao turismo,Diamantes
3125705,Felixlândia,MG,Município com oferta turística complementar,Guimarães Rosa
3125952,Fervedouro,MG,Município com oferta turística complementar,Serra do Brigadeiro
3126109,Formiga,MG,Município turístico,Grutas e Mar de Minas
3126208,Formoso,MG,Município de apoio ao turismo,Urucuia Grande Sertão
3126307,Fortaleza de Minas,MG,Município de apoio ao turismo,Montanhas Cafeeiras de Minas
3126406,Fortuna de Minas,MG,Município com oferta turística complementar,Grutas
3126505,Francisco Badaró,MG,Município com oferta turística complementar,Pedras Preciosas
3126604,Francisco Dumont,MG,Município com oferta turística complementar,Serra do Cabral
3126752,Franciscópolis,MG,Município com oferta turística complementar,Pedras Preciosas
3126802,Frei Gaspar,MG,Município com oferta turística complementar,Pedras Preciosas
3126901,Frei Inocêncio,MG,Município de apoio ao turismo,Pedras Preciosas
3126950,Frei Lagonegro,MG,Município de apoio ao turismo,Pedras Preciosas
3127008,Fronteira,MG,Município turístico,Rota do Triângulo
3127073,Fruta de Leite,MG,Município de apoio ao turismo,Cachaça
3127107,Frutal,MG,Município turístico,Rota do Triângulo
3127305,Galiléia,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3127354,Glaucilândia,MG,Município de apoio ao turismo,Sertão Gerais
3127370,Goiabeira,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3127388,Goianá,MG,Município turístico,Caminhos Verdes de Minas
3127404,Gonçalves,MG,Município turístico,Serras Verdes do Sul de Minas
3127503,Gonzaga,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3127602,Gouveia,MG,Município com oferta turística complementar,Diamantes
3127701,Governador Valadares,MG,Município turístico,Trilhas do Rio Doce
3128006,Guanhães,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3128105,Guapé,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3128204,Guaraciaba,MG,Município com oferta turística complementar,Montanhas e Fé
3128253,Guaraciama,MG,Município com oferta turística complementar,Sertão Gerais
3128402,Guarani,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3128501,Guarará,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3128600,Guarda-Mor,MG,Município de apoio ao turismo,Rota do Triângulo
3128808,Guidoval,MG,Município com oferta turística complementar,Serras e Cachoeiras
3129004,Guiricema,MG,Município com oferta turística complementar,Serras de Minas
3129202,Heliodora,MG,Município de apoio ao turismo,Caminhos da Mantiqueira
3129301,Iapu,MG,Município de apoio ao turismo,Mata Atlântica de Minas
3129657,Ibiracatu,MG,Município com oferta turística complementar,Sertão Gerais
3129707,Ibiraci,MG,Município com oferta turística complementar,
3129905,Ibitiúra de Minas,MG,Município com oferta turística complementar,Caminhos Gerais
3130002,Ibituruna,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3130101,Igarapé,MG,Município turístico,Veredas
3130200,Igaratinga,MG,Município turístico,Verde - Trilha dos Bandeirantes
3130309,Iguatama,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3130408,Ijaci,MG,Município com oferta turística complementar,Região Encantos de Minas
3130507,Ilicínea,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3130556,Imbé de Minas,MG,Município com oferta turística complementar,Rota do Muriqui
3130606,Inconfidentes,MG,Município com oferta turística complementar,Malhas do Sul de Minas
3130705,Indianópolis,MG,Município turístico,Rota do Triângulo
3130804,Ingaí,MG,Município de apoio ao turismo,Região Encantos de Minas
3130903,Inhapim,MG,Município com oferta turística complementar,Mata Atlântica de Minas
3131109,Inimutaba,MG,Município com oferta turística complementar,Guimarães Rosa
3131158,Ipaba,MG,Município com oferta turística complementar,Mata Atlântica de Minas
3131208,Ipanema,MG,Município com oferta turística complementar,Rota do Muriqui
3131307,Ipatinga,MG,Município turístico,Mata Atlântica de Minas
3131505,Ipuiúna,MG,Município com oferta turística complementar,Caminhos Gerais
3131703,Itabira,MG,Município com oferta turística complementar,Ouro
3131802,Itabirinha,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3131901,Itabirito,MG,Município turístico,Ouro
3132107,Itacarambi,MG,Município com oferta turística complementar,Velho Chico
3132305,Itaipé,MG,Município com oferta turística complementar,Pedras Preciosas
3132503,Itamarandiba,MG,Município com oferta turística complementar,Pedras Preciosas
3132602,Itamarati de Minas,MG,Município com oferta turística complementar,Serras e Cachoeiras
3132701,Itambacuri,MG,Município com oferta turística complementar,Pedras Preciosas
3132800,Itambé do Mato Dentro,MG,Município com oferta turística complementar,Serra do Cipó
3132909,Itamogi,MG,Município com oferta turística complementar,Montanhas Cafeeiras de Minas
3133105,Itanhandu,MG,Município turístico,Terras Altas da Mantiqueira
3133204,Itanhomi,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3133303,Itaobim,MG,Município com oferta turística complementar,Pedras Preciosas
3133402,Itapagipe,MG,Município com oferta turística complementar,Rota do Triângulo
3133600,Itapeva,MG,Município turístico,Serras Verdes do Sul de Minas
3133907,Itaverava,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3134004,Itinga,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3134103,Itueta,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3134202,Ituiutaba,MG,Município turístico,Rota do Triângulo
3134301,Itumirim,MG,Município com oferta turística complementar,
3134400,Iturama,MG,Município turístico,Rota do Triângulo
3134509,Itutinga,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3134608,Jaboticatubas,MG,Município turístico,Serra do Cipó
3134806,Jacuí,MG,Município com oferta turística complementar,Montanhas Cafeeiras de Minas
3134905,Jacutinga,MG,Município turístico,Malhas do Sul de Minas
3135001,Jaguaraçu,MG,Município com oferta turística complementar,Mata Atlântica de Minas
3135076,Jampruca,MG,Município de apoio ao turismo,
3135100,Janaúba,MG,Município com oferta turística complementar,Serra Geral do Norte de Minas
3135209,Januária,MG,Município com oferta turística complementar,Velho Chico
3135357,Japonvar,MG,Município com oferta turística complementar,Velho Chico
3135407,Jeceaba,MG,Município com oferta turística complementar,Veredas
3135456,Jenipapo de Minas,MG,Município com oferta turística complementar,Pedras Preciosas
3135506,Jequeri,MG,Município com oferta turística complementar,Montanhas e Fé
3135704,Jequitibá,MG,Município com oferta turística complementar,Grutas
3136009,Joaíma,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3136207,João Monlevade,MG,Município turístico,Montanhas e Fé
3136306,João Pinheiro,MG,Município com oferta turística complementar,Noroeste das Gerais e Alto Paranaíba
3136405,Joaquim Felício,MG,Município com oferta turística complementar,Serra do Cabral
3136553,José Raydan,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3136652,Juatuba,MG,Município turístico,Veredas
3136702,Juiz de Fora,MG,Município turístico,Caminho Novo
3136900,Juruaia,MG,Município com oferta turística complementar,Montanhas Cafeeiras de Minas
3137007,Ladainha,MG,Município de apoio ao turismo,Pedras Preciosas
3137106,Lagamar,MG,Município com oferta turística complementar,Noroeste das Gerais e Alto Paranaíba
3137205,Lagoa da Prata,MG,Município turístico,Grutas e Mar de Minas
3137403,Lagoa Dourada,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3137536,Lagoa Grande,MG,Município com oferta turística complementar,Noroeste das Gerais e Alto Paranaíba
3137601,Lagoa Santa,MG,Município turístico,Grutas
3137700,Lajinha,MG,Município com oferta turística complementar,Pico da Bandeira
3138005,Laranjal,MG,Município com oferta turística complementar,Serras e Cachoeiras
3138203,Lavras,MG,Município turístico,Região Encantos de Minas
3138401,Leopoldina,MG,Município turístico,Serras e Cachoeiras
3138500,Liberdade,MG,Município com oferta turística complementar,Montanhas Mágicas da Mantiqueira
3138609,Lima Duarte,MG,Município com oferta turística complementar,Serras de Ibitipoca
3138625,Limeira do Oeste,MG,Município com oferta turística complementar,Rota do Triângulo
3138658,Lontra,MG,Município de apoio ao turismo,Velho Chico
3138906,Machacalis,MG,Município com oferta turística complementar,Pedras Preciosas
3139003,Machado,MG,Município turístico,Caminhos Gerais
3139102,Madre de Deus de Minas,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3139201,Malacacheta,MG,Município com oferta turística complementar,Pedras Preciosas
3139250,Mamonas,MG,Município de apoio ao turismo,Serra Geral do Norte de Minas
3139300,Manga,MG,Município com oferta turística complementar,Velho Chico
3139607,Mantena,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3139706,Maravilhas,MG,Município com oferta turística complementar,Verde - Trilha dos Bandeirantes
3139904,Maria da Fé,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3140001,Mariana,MG,Município turístico,Ouro
3140100,Marilac,MG,Município com oferta turística complementar,
3140159,Mário Campos,MG,Município de apoio ao turismo,Veredas
3140209,Maripá de Minas,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3140308,Marliéria,MG,Município com oferta turística complementar,Mata Atlântica de Minas
3140407,Marmelópolis,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3140506,Martinho Campos,MG,Município com oferta turística complementar,Lago de Três Marias
3140555,Mata Verde,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3140605,Materlândia,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3140704,Mateus Leme,MG,Município turístico,Veredas
3171501,Mathias Lobato,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3140803,Matias Barbosa,MG,Município turístico,Caminho Novo
3140902,Matipó,MG,Município com oferta turística complementar,Montanhas e Fé
3141009,Mato Verde,MG,Município com oferta turística complementar,Serra Geral do Norte de Minas
3141108,Matozinhos,MG,Município turístico,Grutas
3141207,Matutina,MG,Município com oferta turística complementar,Lago de Três Marias
3141405,Medina,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3141801,Minas Novas,MG,Município com oferta turística complementar,Pedras Preciosas
3141900,Minduri,MG,Município com oferta turística complementar,Montanhas Mágicas da Mantiqueira
3142007,Mirabela,MG,Município com oferta turística complementar,Velho Chico
3142106,Miradouro,MG,Município com oferta turística complementar,Serra do Brigadeiro
3142205,Miraí,MG,Município com oferta turística complementar,Serras de Minas
3142254,Miravânia,MG,Município de apoio ao turismo,Velho Chico
3142403,Moema,MG,Município com oferta turística complementar,Verde - Trilha dos Bandeirantes
3142502,Monjolos,MG,Município de apoio ao turismo,Serra do Cabral
3142601,Monsenhor Paulo,MG,Município com oferta turística complementar,Lago de Furnas
3142700,Montalvânia,MG,Município de apoio ao turismo,Velho Chico
3142809,Monte Alegre de Minas,MG,Município com oferta turística complementar,Rota do Triângulo
3142908,Monte Azul,MG,Município de apoio ao turismo,Serra Geral do Norte de Minas
3143005,Monte Belo,MG,Município de apoio ao turismo,Caminhos Gerais
3143203,Monte Santo de Minas,MG,Município turístico,Montanhas Cafeeiras de Minas
3143302,Montes Claros,MG,Município turístico,Sertão Gerais
3143401,Monte Sião,MG,Município com oferta turística complementar,Malhas do Sul de Minas
3143500,Morada Nova de Minas,MG,Município com oferta turística complementar,Lago de Três Marias
3143609,Morro da Garça,MG,Município com oferta turística complementar,Guimarães Rosa
3143708,Morro do Pilar,MG,Município com oferta turística complementar,Serra do Cipó
3143807,Munhoz,MG,Município com oferta turística complementar,Serras Verdes do Sul de Minas
3144201,Nacip Raydan,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3144300,Nanuque,MG,Município com oferta turística complementar,Pedras Preciosas
3144375,Natalândia,MG,Município com oferta turística complementar,Noroeste das Gerais e Alto Paranaíba
3144508,Nazareno,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3144607,Nepomuceno,MG,Município com oferta turística complementar,Lago de Furnas
3144656,Ninheira,MG,Município de apoio ao turismo,Cachaça
3144672,Nova Belém,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3144706,Nova Era,MG,Município com oferta turística complementar,Ouro
3144805,Nova Lima,MG,Município turístico,Ouro
3145000,Nova Ponte,MG,Município com oferta turística complementar,Rota do Triângulo
3145059,Nova Porteirinha,MG,Município de apoio ao turismo,Serra Geral do Norte de Minas
3145109,Nova Resende,MG,Município com oferta turística complementar,Montanhas Cafeeiras de Minas
3136603,Nova União,MG,Município com oferta turística complementar,Serra do Cipó
3145307,Novo Cruzeiro,MG,Município com oferta turística complementar,Pedras Preciosas
3145356,Novo Oriente de Minas,MG,Município com oferta turística complementar,Pedras Preciosas
3145372,Novorizonte,MG,Município com oferta turística complementar,Cachaça
3145455,Olhos-dÁgua,MG,Município com oferta turística complementar,Sertão Gerais
3145505,Olímpio Noronha,MG,Município de apoio ao turismo,Águas
3145604,Oliveira,MG,Município turístico,
3145851,Oratórios,MG,Município com oferta turística complementar,Montanhas e Fé
3146008,Ouro Fino,MG,Município de apoio ao turismo,Malhas do Sul de Minas
3146107,Ouro Preto,MG,Município turístico,Ouro
3146206,Ouro Verde de Minas,MG,Município com oferta turística complementar,Pedras Preciosas
3146305,Padre Paraíso,MG,Município com oferta turística complementar,Pedras Preciosas
3146503,Pains,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3146552,Pai Pedro,MG,Município de apoio ao turismo,Serra Geral do Norte de Minas
3146701,Palma,MG,Município com oferta turística complementar,Serras e Cachoeiras
3146909,Papagaios,MG,Município com oferta turística complementar,Verde - Trilha dos Bandeirantes
3147006,Paracatu,MG,Município turístico,Noroeste das Gerais e Alto Paranaíba
3147204,Paraguaçu,MG,Município com oferta turística complementar,Lago de Furnas
3147303,Paraisópolis,MG,Município turístico,Serras Verdes do Sul de Minas
3147402,Paraopeba,MG,Município turístico,Grutas
3147808,Passa-Vinte,MG,Município com oferta turística complementar,Montanhas Mágicas da Mantiqueira
3147907,Passos,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3148004,Patos de Minas,MG,Município turístico,Caminhos do Cerrado
3148103,Patrocínio,MG,Município turístico,Caminhos do Cerrado
3148202,Patrocínio do Muriaé,MG,Município com oferta turística complementar,Serra do Brigadeiro
3148301,Paula Cândido,MG,Município com oferta turística complementar,Montanhas e Fé
3148400,Paulistas,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3148509,Pavão,MG,Município com oferta turística complementar,Pedras Preciosas
3148608,Peçanha,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3148707,Pedra Azul,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3148806,Pedra do Anta,MG,Município com oferta turística complementar,Serras de Minas
3148905,Pedra do Indaiá,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3149002,Pedra Dourada,MG,Município com oferta turística complementar,Pico da Bandeira
3149101,Pedralva,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3149150,Pedras de Maria da Cruz,MG,Município de apoio ao turismo,Velho Chico
3149309,Pedro Leopoldo,MG,Município com oferta turística complementar,Grutas
3149903,Perdões,MG,Município turístico,Região Encantos de Minas
3149952,Periquito,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3150000,Pescador,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3150109,Piau,MG,Município com oferta turística complementar,Caminhos Verdes de Minas
3150208,Piedade de Ponte Nova,MG,Município de apoio ao turismo,Montanhas e Fé
3150307,Piedade do Rio Grande,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3150505,Pimenta,MG,Município com oferta turística complementar,Grutas e Mar de Minas
3150539,Pingo-d'Água,MG,Município com oferta turística complementar,Rota do Muriqui
3150570,Pintópolis,MG,Município de apoio ao turismo,Urucuia Grande Sertão
3150703,Pirajuba,MG,Município com oferta turística complementar,Rota do Triângulo
3150802,Piranga,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3150901,Piranguçu,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3151008,Piranguinho,MG,Município com oferta turística complementar,Caminhos da Mantiqueira
3151206,Pirapora,MG,Município turístico,Guimarães Rosa
3151305,Piraúba,MG,Município com oferta turística complementar,Serras e Cachoeiras
3151503,Piumhi,MG,Município turístico,Nascentes das Gerais e Canastra
3151602,Planura,MG,Município turístico,Rota do Triângulo
3151701,Poço Fundo,MG,Município com oferta turística complementar,Caminhos Gerais
3151800,Poços de Caldas,MG,Município turístico,Caminhos Gerais
3151909,Pocrane,MG,Município com oferta turística complementar,Rota do Muriqui
3152006,Pompéu,MG,Município com oferta turística complementar,
3152105,Ponte Nova,MG,Município com oferta turística complementar,Montanhas e Fé
3152131,Ponto Chique,MG,Município com oferta turística complementar,Guimarães Rosa
3152170,Ponto dos Volantes,MG,Município com oferta turística complementar,Vale do Jequitinhonha
3152204,Porteirinha,MG,Município com oferta turística complementar,Serra Geral do Norte de Minas
3152402,Poté,MG,Município com oferta turística complementar,Pedras Preciosas
3152501,Pouso Alegre,MG,Município turístico,Caminhos da Mantiqueira
3152808,Prata,MG,Município com oferta turística complementar,Rota do Triângulo
3152907,Pratápolis,MG,Município com oferta turística complementar,Nascentes das Gerais e Canastra
3153103,Presidente Bernardes,MG,Município com oferta turística complementar,Nascente do Rio Doce
3153202,Presidente Juscelino,MG,Município de apoio ao turismo,Guimarães Rosa
3153301,Presidente Kubitschek,MG,Município com oferta turística complementar,Diamantes
3153400,Presidente Olegário,MG,Município com oferta turística complementar,Noroeste das Gerais e Alto Paranaíba
3153608,Prudente de Morais,MG,Município com oferta turística complementar,Grutas
3153806,Queluzito,MG,Município com oferta turística complementar,Villas e Fazendas de Minas
3153905,Raposos,MG,Município com oferta turística complementar,Ouro
3154002,Raul Soares,MG,Município com oferta turística complementar,Montanhas e Fé
3154101,Recreio,MG,Município com oferta turística complementar,Serras e Cachoeiras
3154200,Resende Costa,MG,Município com oferta turística complementar,Trilha dos Inconfidentes
3154309,Resplendor,MG,Município com oferta turística complementar,Trilhas do Rio Doce
3154408,Ressaquinha,MG,Município com oferta turística complementar,Nascente do Rio Doce
3154457,Riachinho,MG,Município de apoio ao turismo,Noroeste das Gerais e Alto Paranaíba
3154507,Riacho dos Machados,MG,Município com oferta turística complementar,Serra Geral do Norte de Minas
3154705,Ribeirão Vermelho,MG,Município turístico,Lago de Furnas
3154804,Rio Acima,MG,Município com oferta turística complementar,Ouro
3154903,Rio Casca,MG,Município com oferta turística complementar,Montanhas e Fé
